well	radius	gfp	pi	viability	thresh	norm	date
0.0	30.0780124067633	2722.1519	784.75024	0.5092413230168216	0.04630146098465857	0.35442080044327073	D1
0.0	0.0	33.241283	70.92763	0.3302946024824791	0.04630146098465857	0.35442080044327073	D1
1.0	23.896176381821395	946.8922	202.4413	0.6385949276978784	0.024355734810308782	0.24396501603971238	D1
3.0	28.094446160235158	2454.7126	978.3583	0.320717557750241	0.04482930163237903	0.2694675698596074	D1
4.0	26.28154715048904	1699.3314	917.98584	0.2384031719516021	0.04636129837946843	0.28194397612289046	D1
5.0	28.280519927143118	856.3269	233.92982	0.2586081960146065	0.02013741722349971	0.07756414286410726	D1
6.0	28.472463318607748	2347.9495	1054.126	0.32378815175769704	0.04135669595017169	0.19624927562300104	D1
7.0	34.86764659810539	4020.86	1226.8947	0.19732242962065882	0.0503842468507181	0.17937928102459072	D1
7.0	12.190444997557718	248.19904	24.356379	1.0	0.0503842468507181	0.17937928102459072	D1
7.0	8.458517193783473	471.08444	217.7858	0.27162226787770616	0.0503842468507181	0.17937928102459072	D1
7.0	11.683459068971883	328.89664	0.13226822	1.0	0.0503842468507181	0.17937928102459072	D1
8.0	26.75823377734332	542.91046	442.25427	0.3156970565554148	0.02809391134212555	0.15502981400614108	D1
9.0	28.453563573200498	2321.3877	621.2913	0.2444699281202859	0.03248255355125615	0.16980729879730594	D1
10.0	27.904722124118216	784.9895	693.2284	0.22964754688949895	0.03441455509959231	0.15406458586777777	D1
11.0	27.445503759956043	762.7638	248.471	0.316807636108309	0.019718437934135982	0.0762786028940739	D1
12.0	31.896489416457875	3483.3735	763.0114	0.3853660626931015	0.038956216163452385	0.2436630335136844	D1
13.0	41.36501478435208	8661.832	3571.1042	0.18801189844999888	0.0881248901306172	0.322063561801052	D1
14.0	38.9866636937144	2696.2546	756.81006	0.24177263735325738	0.029219446028188798	0.1074062730465381	D1
15.0	0.0	814.25574	272.93896	0.22284533859464317	0.021935599882220262	0.027261380095857917	D1
15.0	0.0	76.55149	24.773138	0.22701511351080306	0.021935599882220262	0.027261380095857917	D1
15.0	0.0	494.6754	162.01537	0.2277921340567013	0.021935599882220262	0.027261380095857917	D1
15.0	0.0	9.247236	2.9470468	0.18183879743199172	0.021935599882220262	0.027261380095857917	D1
15.0	3.2388118653584717	303.55676	104.23459	0.19227667821516037	0.021935599882220262	0.027261380095857917	D1
15.0	0.0	48.327797	16.238829	0.20492807790795475	0.021935599882220262	0.027261380095857917	D1
15.0	0.0	16.782127	5.5060363	0.23504012153610865	0.021935599882220262	0.027261380095857917	D1
16.0	39.50921605999221	7935.2075	3479.094	0.24828367188409017	0.09855397290252313	0.4450163747668323	D1
17.0	27.911950390558353	791.4083	616.3015	0.231157009049333	0.030750114428026578	0.149474452807574	D1
18.0	31.57442281663255	3022.4663	1632.2858	0.18009680440929376	0.06654852558193956	0.25544615688677685	D1
18.0	11.068725284215231	755.4402	485.7531	0.29202019909498134	0.06654852558193956	0.25544615688677685	D1
19.0	30.44686345436763	1602.5065	305.73135	0.26485400468869313	0.022804142616356306	0.09437272683778816	D1
20.0	30.462319276399423	1627.8436	859.69824	0.3162685762413906	0.03912505639984086	0.20533191723778027	D1
21.0	32.11080194637468	1482.0236	987.0455	0.1946831387957232	0.04837825929850187	0.1521948919339543	D1
21.0	31.21458858422069	1304.928	708.3715	0.23628328601511106	0.04837825929850187	0.1521948919339543	D1
21.0	6.831296848965802	57.580303	36.698807	0.37315469831964077	0.04837825929850187	0.1521948919339543	D1
22.0	21.9421880938819	501.25784	92.6531	0.35002981097278074	0.014842556762273744	0.023649173617778265	D1
22.0	33.53462868205927	836.3195	38.917492	0.9119275838890679	0.014842556762273744	0.023649173617778265	D1
23.0	0.0	172.77916	142.22609	0.28511843317519037	0.06922716677886533	0.22835417021861912	D1
23.0	43.067736230028274	5572.7637	2430.64	0.18807984353476492	0.06922716677886533	0.22835417021861912	D1
24.0	37.46684007378067	10463.336	4926.192	0.14962697422314786	0.10111079869532605	0.29704750752813186	D1
25.0	35.38071519490471	3156.49	862.1685	0.27568939346741295	0.034227335646812504	0.14840777093457408	D1
26.0	39.46153250599364	5659.625	1966.2352	0.3031805226614942	0.06322762648710614	0.30963953304649183	D1
27.0	37.53856073680454	4382.0396	1540.4949	0.32565043147251305	0.057704349751748416	0.3236591966468104	D1
28.0	36.65398218280504	4641.0996	1269.3584	0.46643969440926303	0.05465233909358615	0.3595866918487908	D1
29.0	34.900416044051475	9977.333	5431.292	0.1679069158870109	0.11820839621772798	0.2995449529679176	D1
29.0	20.45447918244948	1433.1229	218.43628	0.9318898283501683	0.11820839621772798	0.2995449529679176	D1
30.0	36.388850440512236	4594.975	1957.5916	0.2846740125110573	0.07046177334452502	0.3937184128515382	D1
31.0	38.70797994902151	7945.907	4592.908	0.18071008443631265	0.1206591111905043	0.4921490858923442	D1
31.0	0.0	30.162304	46.39566	0.23117880423640524	0.1206591111905043	0.4921490858923442	D1
32.0	42.49561185090862	7531.5767	4771.4736	0.17309620674415938	0.1164125720660272	0.43253778685339084	D1
33.0	30.996249157986565	2035.8458	642.5097	0.278622665962998	0.031332192230193505	0.15627929581971814	D1
34.0	31.309230608022254	2065.59	742.3867	0.288122270270327	0.03388069786714798	0.1536117727846104	D1
35.0	44.788303002336576	3692.2205	4596.6396	0.14660400777332994	0.10529550297504181	0.34704968226560473	D1
36.0	33.26484941552114	1141.4153	615.6785	0.31913476554080944	0.029529820035886948	0.13057771483615968	D1
37.0	39.06936485865358	4531.9043	1536.5214	0.2619378324118459	0.053351922661551865	0.25937342714806844	D1
38.0	41.82735257229035	13538.946	7751.026	0.13960423833184543	0.13239419857447424	0.3385202151703131	D1
39.0	35.94448914437154	3632.7134	910.74506	0.4062374835938116	0.04447708836448231	0.27565316110254867	D1
40.0	39.72477648008927	8387.47	4696.5127	0.1739345466188118	0.10912058993871158	0.38099629294548265	D1
41.0	36.75840186530707	4405.874	924.9289	0.37410477972185563	0.039531108326339215	0.21274014283321907	D1
42.0	39.99805728473451	8576.485	4572.564	0.24852102463999393	0.12365035487618392	0.5634968702564018	D1
43.0	41.17111393692257	6520.4585	5721.9062	0.15486954778617712	0.1091296153076515	0.311005730629132	D1
44.0	31.674358948025777	1469.5878	694.1342	0.34547248618549864	0.032308988097235564	0.15900687076425027	D1
45.0	37.720831204201396	5193.5913	2251.8665	0.3922167761271711	0.08177289097266555	0.5084585392170817	D1
46.0	31.523269404641113	1674.0238	819.7633	0.3473983858331672	0.03932560372390191	0.2231859665199778	D1
47.0	5.8215507884058	499.58258	257.75662	0.19902775935143724	0.04478957042037528	0.10148553613038996	D1
47.0	32.32369357273995	2187.798	745.6052	0.17372503755162116	0.04478957042037528	0.10148553613038996	D1
47.0	9.356833781794789	96.71844	8.208942	1.0	0.04478957042037528	0.10148553613038996	D1
47.0	5.068215863626612	432.77832	224.36076	0.1967980073308948	0.04478957042037528	0.10148553613038996	D1
47.0	0.0	223.0985	114.39653	0.25941789788257386	0.04478957042037528	0.10148553613038996	D1
47.0	23.655780305953623	971.9411	261.46597	0.2334734252578914	0.04478957042037528	0.10148553613038996	D1
48.0	37.884479830292214	6400.311	2498.494	0.34106133488384993	0.07909654375933647	0.40480135198723627	D1
49.0	41.77748627517449	8834.002	3762.888	0.19819243843124834	0.10005626006386874	0.41165343921519854	D1
50.0	34.388003072916945	1243.0679	626.94507	0.24776993313264672	0.028396132083668566	0.11015365586967871	D1
51.0	34.78462137832071	3047.94	428.0717	0.37900172249194297	0.026245122914219814	0.1325739875650305	D1
52.0	36.844279695175274	4418.144	836.36725	0.31057539717986105	0.034433750829328605	0.16171299749675513	D1
53.0	31.803595021790418	852.085	245.7397	0.38260675881666817	0.02086787872105098	0.07609551315058552	D1
53.0	0.0	61.571407	85.41488	0.28027470499410645	0.02086787872105098	0.07609551315058552	D1
54.0	37.72796112226984	11960.351	5579.7695	0.130291406131136	0.0937378737338257	0.2214354056404379	D1
55.0	41.31621800579388	9151.944	4912.3257	0.16411153075307927	0.10600637437109332	0.34109910879333016	D1
56.0	38.132162825882155	8000.082	6536.6235	0.15691738667695554	0.11376047215460365	0.2939254740350506	D1
57.0	37.87560405296864	5184.5176	3241.7258	0.2896848553168334	0.09713914720442299	0.5011417373589584	D1
58.0	47.58366385117273	13801.244	8615.7705	0.11630280082281386	0.1327272640111484	0.2666603439305016	D1
59.0	35.841450498963454	3573.164	1629.084	0.43714934834932306	0.06615449146423313	0.435316859785664	D1
60.0	35.45855229287258	5751.003	4256.722	0.18675327005546638	0.11437323494551777	0.47828828246976085	D1
61.0	36.745594378143096	4963.738	2154.2166	0.35935004961683936	0.07775664963884368	0.45241508653550067	D1
62.0	44.99052884732873	7820.634	4124.658	0.20527687443665532	0.11434233037502722	0.35760437195357403	D1
63.0	36.43686416915836	9740.417	5325.8115	0.14774274138162968	0.11018236341000462	0.3260752410325186	D1
64.0	45.49437784150595	5921.7207	2671.3406	0.18233540945800386	0.0663200413229444	0.2212095330463075	D1
65.0	35.66277345935038	2220.4734	863.9411	0.2914534900320951	0.03551523182783958	0.16384606346201558	D1
66.0	41.19886993067377	8407.534	2957.424	0.22261207076786016	0.08196361273260186	0.34822819115806214	D1
67.0	41.01730056545983	6973.315	4247.1147	0.19640090921751596	0.0971727697411939	0.3270876568251794	D1
68.0	39.44278390942446	7566.7256	2490.0408	0.29667585885224135	0.07817876011240872	0.40387471801146424	D1
69.0	39.095173095438334	7707.146	1803.5503	0.4730185700376377	0.0685804105078816	0.4377670479477417	D1
70.0	42.29576574306335	10115.748	6450.4155	0.18429368283607594	0.11921692050016701	0.3337869911808435	D1
71.0	40.15075100047263	7864.9336	5561.561	0.16283071199019916	0.12207381052672431	0.41234984685168957	D1
71.0	0.0	31.479448	32.663628	0.2596887938711493	0.12207381052672431	0.41234984685168957	D1
72.0	37.14962425082696	7295.5312	5903.353	0.1592101005694755	0.10668210210719978	0.2749041448529968	D1
